date,day,pages,reason
1901-01-01,Tuesday,0,New Years day
1901-01-02,Wednesday,0,No pages
1901-01-03,Thursday,0,No pages
1901-01-04,Friday,0,No pages
1901-01-05,Saturday,0,No pages
1901-01-06,Sunday,0,Sunday
1901-01-07,Monday,3,
1901-01-08,Tuesday,5,
1901-01-09,Wednesday,5,
1901-01-10,Thursday,5,
1901-01-11,Friday,5,
1901-01-12,Saturday,2,
1901-01-13,Sunday,0,Sunday
1901-01-14,Monday,5,
1901-01-15,Tuesday,5,
1901-01-16,Wednesday,5,
1901-01-17,Thursday,5,
1901-01-18,Friday,4,
1901-01-19,Saturday,2,
1901-01-20,Sunday,0,Sunday
1901-01-21,Monday,5,
1901-01-22,Tuesday,5,
1901-01-23,Wednesday,0,"Death of the Queen, business abandoned: https://trove.nla.gov.au/newspaper/article/14371864/1343690"
1901-01-24,Thursday,5,
1901-01-25,Friday,5,
1901-01-26,Saturday,2,
1901-01-27,Sunday,0,Sunday
1901-01-28,Monday,5,
1901-01-29,Tuesday,5,
1901-01-30,Wednesday,5,
1901-01-31,Thursday,5,
1901-02-01,Friday,5,
1901-02-02,Saturday,0,Day of Mourning for Queen
1901-02-03,Sunday,0,Sunday
1901-02-04,Monday,5,
1901-02-05,Tuesday,5,
1901-02-06,Wednesday,5,
1901-02-07,Thursday,5,
1901-02-08,Friday,5,
1901-02-09,Saturday,2,
1901-02-10,Sunday,0,Sunday
1901-02-11,Monday,5,
1901-02-12,Tuesday,5,
1901-02-13,Wednesday,5,
1901-02-14,Thursday,5,
1901-02-15,Friday,5,
1901-02-16,Saturday,2,
1901-02-17,Sunday,0,Sunday
1901-02-18,Monday,5,
1901-02-19,Tuesday,5,
1901-02-20,Wednesday,5,
1901-02-21,Thursday,5,
1901-02-22,Friday,5,
1901-02-23,Saturday,2,
1901-02-24,Sunday,0,Sunday
1901-02-25,Monday,4,
1901-02-26,Tuesday,5,
1901-02-27,Wednesday,5,
1901-02-28,Thursday,5,
1901-03-01,Friday,5,
1901-03-02,Saturday,2,
1901-03-03,Sunday,0,Sunday
1901-03-04,Monday,5,
1901-03-05,Tuesday,5,
1901-03-06,Wednesday,5,
1901-03-07,Thursday,5,
1901-03-08,Friday,5,
1901-03-09,Saturday,2,
1901-03-10,Sunday,0,Sunday
1901-03-11,Monday,5,
1901-03-12,Tuesday,5,
1901-03-13,Wednesday,5,
1901-03-14,Thursday,5,
1901-03-15,Friday,5,
1901-03-16,Saturday,2,
1901-03-17,Sunday,0,Sunday
1901-03-18,Monday,0,No pages
1901-03-19,Tuesday,5,
1901-03-20,Wednesday,5,
1901-03-21,Thursday,5,
1901-03-22,Friday,5,
1901-03-23,Saturday,2,
1901-03-24,Sunday,0,Sunday
1901-03-25,Monday,5,
1901-03-26,Tuesday,5,
1901-03-27,Wednesday,5,
1901-03-28,Thursday,5,
1901-03-29,Friday,0,No pages
1901-03-30,Saturday,2,
1901-03-31,Sunday,0,Sunday
1901-04-01,Monday,5,
1901-04-02,Tuesday,5,
1901-04-03,Wednesday,5,
1901-04-04,Thursday,3,
1901-04-05,Friday,0,Good Friday
1901-04-06,Saturday,0,Easter Saturday
1901-04-07,Sunday,0,Sunday
1901-04-08,Monday,0,Easter Monday
1901-04-09,Tuesday,0,Easter Tuesday
1901-04-10,Wednesday,0,Easter Wednesday
1901-04-11,Thursday,5,
1901-04-12,Friday,5,
1901-04-13,Saturday,2,
1901-04-14,Sunday,0,Sunday
1901-04-15,Monday,5,
1901-04-16,Tuesday,5,
1901-04-17,Wednesday,5,
1901-04-18,Thursday,5,
1901-04-19,Friday,5,
1901-04-20,Saturday,2,
1901-04-21,Sunday,0,Sunday
1901-04-22,Monday,5,
1901-04-23,Tuesday,5,
1901-04-24,Wednesday,5,
1901-04-25,Thursday,5,
1901-04-26,Friday,5,
1901-04-27,Saturday,2,
1901-04-28,Sunday,0,Sunday
1901-04-29,Monday,5,
1901-04-30,Tuesday,5,
1901-05-01,Wednesday,5,
1901-05-02,Thursday,5,
1901-05-03,Friday,5,
1901-05-04,Saturday,2,
1901-05-05,Sunday,0,Sunday
1901-05-06,Monday,5,
1901-05-07,Tuesday,5,
1901-05-08,Wednesday,5,
1901-05-09,Thursday,5,
1901-05-10,Friday,5,
1901-05-11,Saturday,2,
1901-05-12,Sunday,0,Sunday
